id	review	sentiment
9af5724a-86e0-41b4-9103-9a2947f14196	george miller unleashes feverish , ferocious film intense wild ride acrobatic `` mad max : fury road thrilling treats audience astonishing action sequence but action not dull emotional impact mainly due charlize theron fierce performance `` mad max : fury road ride worth taking wall-to-wall pumped-up adrenalized fun , ridiculously good	2
78e5097d-6162-4d6f-9f73-d483718fdba3	george miller mad max : fury road one , lush vivid movie seen long time cinematography film absolute marvel- showcasing sprawling outback desert hue orange red day , contrasting beautiful midnight blue night comes together give movie very lively atmosphere score alleviates sense rush smartly used diegetically well non-diegetically action scene shot brilliantly minimal special effect , furthering case masterpiece finally acting especially charlize theron imperator furiosa top-notch no character left needing characterisation tom hardy max man little word , but performance strong movie not need dialogue order flourish movie definitely not hyped up- go see go see rating : 5/5	2
8f5ea78a-eee3-4952-8f37-e00b31375729	apparently , takes old veteran like george miller show new generation young filmmaker action exhilarating , gives us high-octane , adrenaline-fueled roller coaster movie technically flawless , visually astonishing looks amazing 3d	2
6e7dd5de-fd56-4994-9205-d4d751f94d4b	glorious symphonic ballet wanton destruction whose visual poetry dazzle amazes whereas current popular political correctness deems life precious , weekend jaunt local park baby stroller yells differ ( reminding one exactly planet one dwells ) standing ovation george miller , whose charming eloquence well hidden truth modern society jaw-droppingly stunning best apocalyptic vision seen time	2
8dfe29c2-7dae-4f07-94ea-e8bca46618ec	witnessed ! !	1
63a5ff41-7295-4468-99fc-14a365d456fa	30 year release thunderdome mad max finally back lone wolf , single warrior , loner , lone soldier , outcast , outsider , man no name errr named max hype stratospheric one , gone expecting truly mind blowing thing , greatest action movie ever made ? let see , brutally honest every aspect bottom line , virtually based around one sequence mad max 2 made entire movie know sequence , one bloody great gas tanker covered gun turret spike sequence epic many level , truly award winning vision distopian science fiction goody get killed , awesome , tale max captured war boy led immortan joe standard gang barbaric lunatic , time not kitted & m gear , no time painted tribal sort way long story short , max got ta reluctantly help charlize theron character furiosa ( help nicholas hoult ill war boy character , nux ) saving damsel distress joe whilst trying reach fabled lush green lands course equal whole load vehicle chase across outback basically never stop first sequence see max classic gorgeous black pursuit special ( famous 1973 ford xb falcon gt ) getting trashed , wait ? ? ! ! heard hand say not like one bit , wanted see fucking car action , damn miller ! not quite sure max super fast special manages get wiped collection clown car chasing but never mind , bloody happened not , ugh ! one first thing see real story kick immortan joe citadel appears built fecking massive cliff hell manage ? like sprawling catacomb rock look , would not thought anyone time killing building ridiculous killer automobile actually one aspect not sit well , whole idea felt way grand top mad max movie , looked like something lord ring trilogy car instead orcs really wanted picky would ask everyone muscular dead post-apocalyptic world , meh not question start see strange freakish array character inhabit new earth , got ta say loved saw part miller always good creating bizarre character franchise nails bad guy big rippling baldy covered white paint reason ( war boy ) , not much background given but look intimidating sure citadel dweller bad guy come various shape size creepy looking corpus colossus , physically disabled child joe exceptional intelligence ( real person real disability ) rictus erectus ( nathan jones ) , huge muscular mammoth man , dim-witted another son joe bullet farmer ugly aging bloke suit bullet farmer ? , hence name people eater big fat bald guy ( everyone bald distopian future ) guess eats people ? hence name reason fat , also looks lost nose wears kind metal plate doof warrior crazy blind bloke rides war rig ( doof wagon ) battle strapped huge speaker playing fire spouting guitar guy seems become new boba fett movie world but not actually anything , fact fail see point drummer simply look cool admittedly look cool , certainly unique mother face mask ( oh yes ) , but basically pointless lastly immortan joe easily effective looking character seen year mask appears kind breathing apparatus attached kind bellow around neck mask slightly reminiscent old wwii pilot oxygen mask but terrifying line big teeth like skeleton not sure ending though , mask like attached face skull ? also seems wear kind transparent body armour medal whatnot attached , obviously suffers kind affliction disease visually guy looks fucking amazing , makeup really tops pale ghostly complexion silver balding , widows peak hair line selection character gave very dune-esque ( 1984 ) vibe opinion action virtually constant , trademark movie ( franchise ) , non-stop main bulk action centres around max co trying escape tanker barrage gunfire explosion yeah , seen mad max 2 but ramped maximum overdrive , insane ! vehicle torn flipped , metal mechanical shrapnel shattering desert , body flying everywhere , war boy leaping around pole vault type thing hurling explosive , gunfire , stabbings , fisticuffs happening various extreme vehicle creation looks completely real ( stunt real ) , highly impressive shows great achievement eruptive action practical effect top location work , scenery shot , panorama crisp , bold colour palette really look nothing short gorgeous , almost looks good type movie gives faith movie really not say action saves completely , view amongst grade action wonder max , joe others manage survive horrific fender bender get good guy battle way away citadel , way , come back ? wut ? ! canyon sequence stuck very daft cheesy notion biker gang hides , living around canyon wall , ride motorbike ? bit risky not also , get match costume ? good guy come back canyon , go different way ? not get blocked seem nut happens purely joe wants girl back unleashes entire armada risk everything as ? ca not find girl citadel ? oh end citadel bad guy let max co city take ? huh ? killed leader greatest action flick ever ? hmmm not sure , certainly but still find preferring gritty cult classic mad max 2 gibson think hardy reasonable job but no mad max ask one thing hated actually deliberate lack dialog max , worked well older film ( mm2 ) simply less explain , mm2 like bloody 80 videogame straight forward thing could use background information plus amount time max gets situation ( mainly start ) really wanted speak ! say something ! ! explain situation furiosa might not try kill ugh ! found actually frustrating not need like still , fact goody went back towards end really made groan frankly like miller not know end made go back run gauntlet , easy option wo not lie say not like , but wo not lie say thought stunning movie , action monumental first but initial hardcore , automobile , carnage sequence , thing felt little tamer initial visual shock awe hit eye , making swell , started ease awe-inspiring visuals round great character visually least good flick ? yes , yes , very engaging solid action movie , buts lets not get carried away really one trick pony honest , big gas tanker goody fight horde baddie , rinse , wash repeat credit real difference furiosa story , degree , nux , unfortunately max along ride 30 year old boot	2
ebfe5eee-1de3-417e-83cc-c7c5d19feee8	damn ! never knew could like action movie much made want watch original 3 movie world awesome !	2
b600b6a2-2054-4a39-a5e7-29a51448c717	fury road rip conventional action movie norm provide visceral experience miller choice use practical effect pays tenfold , stuntmen pyrotechnic deserve much recognition perfect cast mad max franchise back , far wild ride	2
5080e1f9-72eb-4547-8b6c-353bea7628e8	far best film summer feast action drama say great job capturing essence original film , lacking `` hardcore sensory overload / punk rock feeling first two film not necessarily bad thing missed feeling	2
5d0253a5-e643-43c8-9ea7-5b2781960bd4	apocalyptic film usually hit miss subject many forgettable cliched point one big joke , kind like film within film mackenzie brother strange brew film get really right , others get really , really wrong disastrous silly result one thinks modern apocalyptic film template genre cinema crafted george miller major debut mad max ( 1979 ) less apocalyptic 70 exploitation car chase flick sent hell back , making film achievement film making pushed envelope end decade would sequel film , mad max 2 road warrior state , would define miller vision world beyond end , people lived `` event road warrior one rare film exceeds predecessor story , simple , presented way unforgettable burns psyche skip mad max : beyond thunderdome place moment , but really film miller cared very little left world max thirty year mad max : fury road return supercharged film road warrior happened max ( tom hardy ) runs afoul mutant clan using slave labor water control little piece broken world led immortan joe ( played hugh keayes-byrne , played toe cutter original film ) chase ensues furiosa ( charlize theron awesome performance ) steals commodity sacred enraged leader simple story ever one , but goes beyond fury road open close action very little time catch breath film called roller coaster ride , age old cliche slap poster fury road like going hell without looking back funny film set fictional version world draw many parallel life really stands fury road role woman film titled mad max , strongest character film furiosa , warrior not give , leading ironic cargo promised land may may not exist distant memory wishful thinking ? moment max feel like side character furiosa movie amazing thing see film woman neither pawn gimmick , but integral piece film center everything fury road revolves around sketchy heard another mad max film way many return last decade floundered indulgence sequel boot 50/50 split arena fury road probably best bunch probably one best film 2015 far credit credit masterpiece really cuts blockbuster year almost stagnant world super hero movie fury road , ironically , breath fresh air cinematic universe tends regurgitate last year product dare say film miller masterpiece , possibly even surpassing road warrior ? not know , but really , really want watch	2
